Post iD,Title,Report Year,Status,Year Cancelled,Date of Last Event,Litigation,Litigation Venue,State,County,County ID,Municipality,Type,Capacity,Area,Content,Citations,State_List
2148,Aramis Solar Project (Alameda County),2025,Pending,,2023,Yes,State,CA,Alameda County,06001,,Solar,,410.0,"Opponents of two North Livermore Valley solar projects, Aramis (410 acres) and Sunwalker (70 acres), led by a group called Save North Livermore Valley, argued that the proposed locations of the projects impinge on agriculture, natural wildlife habitat, open space, and visual and scenic resources. In October 2020, two candidates running for election to the Alameda County Board of Supervisors issued a joint statement urging the board to place a moratorium on solar development on agricultural land. After the East County Board of Zoning Adjustments approved both projects, local groups stated appealed both decisions. By December 2020, three local organizations had filed appeals challenging the approval of the Aramis project. In May 2022, the Alameda County Superior Court upheld the county’s approval of the Aramis project, dismissing a lawsuit by project opponents. In July 2023, Save North Livermore Valley appealed the Superior Court’s decision. California’s First District Court of Appeals denied the appeal in August 2023.","Ryan J. Degan, Supervisor candidates urge a pause on Livermore solar projects, Pleasonton Weekly, Oct. 7, 2020, https://www.pleasantonweekly.com/news/2020/10/07/supervisor-candidates-urge-a-pause-on-livermore-solar-projects; Cierra Bailey, Livermore: Resident groups, developer all appeal county’s approval of 410-acre solar project, Pleasonton Weekly, Dec. 9, 2020, https://www.pleasantonweekly.com/news/2020/12/09/livermore-resident-groups-developer-all-appeal-countys-approval-of-410-acre-solar-project; Tentative Ruling Issued in Favor of Solar Project, The Independent, Apr. 27, 2022. Updated in May 10, 2022, https://www.independentnews.com/news/regional_and_ca/tentative-ruling-issued-in-favor-of-solar-project/article_e92dfce6-c62d-11ec-a275-e708f9977087.html; Cierra Bailey, Court upholds county’s approval of Aramis solar project in Livermore, Pleasanton Weekly, July 15, 2022, https://www.pleasantonweekly.com/news/2022/07/15/court-upholds-countys-approval-of-aramis-solar-project-in-livermore; Larry Altman, Judges Hear Appeal of Solar Project Approval, Independent News, Aug 2, 2023, https://www.independentnews.com/news/livermore_news/judges-hear-appeal-of-solar-project-approval/article_87520328-312f-11ee-945e-131e0345e21f.html; Larry Altman, Appeal to Overturn Aramis Is Rejected, Independent News, Aug. 16, 2023, https://www.independentnews.com/news/livermore_news/appeal-to-overturn-aramis-is-rejected/article_de468716-3c4d-11ee-8079-d32866c986ce.html.",['CA']
2149,Aratina Solar Center (Kern County),2025,Pending,,2021,No,,CA,Kern County,06029,,Solar|Storage,1130.0,,"In October 2021, the Kern County Board of Supervisors unanimously approved the Aratina Solar Center, a solar-plus-storage project including 530 MW of solar capacity and 600 MW of battery energy storage capacity. Shortly thereafter, local community members organized a petition that received 51,000 signatures. A primary concern driving local opposition to the project is the potential impact on local wildlife and on Joshua Trees. In compliance with the California Western Joshua Tree Conservation Act, the developer received an Incidental Take Permit, which authorized the developer to remove trees with an option to pay a standard mitigation fee rather than complete mitigation fee.","Aratina Solar Center, https://www.aratinasolar.com/ (last visited Feb. 21, 2025); California Desert Town Protests Solar Energy Project. Desert News, Sept. 6, 2024, https://www.desertnews.com/news/article_84ebe7b4-7442-11ef-87e0-b71f6068e210.html; Solar Project Developers Face Opposition from Joshua Tree Conservationists, PV Magazine USA, June 3, 2024, https://pv-magazine-usa.com/2024/06/03/solar-project-developers-face-opposition-from-joshua-tree-conservationists; California Desert Town Protests Solar Energy Project, Los Angeles Times, Sept. 6, 2024, https://www.latimes.com/environment/story/2024-09-06/california-desert-town-protests-solar-energy-project.",['CA']
2150,Blythe Mesa Solar Power Project (Riverside County),2025,Unknown,,2015,Yes,Federal,CA,Riverside County,06065,,Solar,465.0,4070.0,"The Blythe Mesa Solar Power Project is a 465-MW solar farm built between 2010 and 2020 over 4,070 acres of BLM land by the developer NextEra. The Colorado River Indian Tribe (CRIT) sued the Department of Interior in 2014 in the U.S. District Court for the Central District of California, claiming that BLM’s lack of government-to-government consultation violated the NHPA; the lawsuit also included claims under NEPA and the Federal Land Policy and Management Act. The District Court granted summary judgment in favor of the Department of Interior in July 2015.","Colorado River Indian Tribes v. Dep't of Interior, No. EDCV1402504JAKSPX, 2015 WL 13915982 (C.D. Cal. July 17, 2015); Blythe Solar Power Project, Basin and Range Watch, https://www.basinandrangewatch.org/Blythe.html (last visited Nov. 8, 2024); Blythe Solar Power Project, California Energy Commission, https://www.energy.ca.gov/powerplant/pv/blythe-solar-power-project (last visited Nov. 8, 2024).",['CA']
2151,Boulder Brush Project (San Diego County),2025,Pending,,2024,Yes,State,CA,San Diego County,06073,,Transmission,,,"The Boulder Brush Project is a 320-acre substation and transmission line proposed by Terra-Gen, which would connect to the 60-turbine Campo Wind Project planned for the Campo Indian Reservation. In March 2021, the San Diego County Board of Supervisors unanimously approved the project. Residents consequently formed an organization called Backcountry Against Dumps to challenge the decision. In April 2021, the organization filed a lawsuit claiming that the project violated the California Environmental Quality Act and various planning and zoning regulations. The lawsuit contended that the County’s environmental review of the project did not fully analyze the risks to wildlife and groundwater and the effects of noise disruptions. In March 2024, the Fourth District Court of Appeal vacated the San Diego Superior Court’s dismissal of the lawsuit, instructing the trial court to allow the case to proceed.","Rob Nikolewski, Wind project in San Diego’s backcountry runs into turbulence, SAN DIEGO UNION-TRIBUNE, March 23, 2024, https://www.sandiegouniontribune.com/2024/03/22/wind-project-in-san-diegos-backcountry-runs-into-turbulence/; Backcountry Against Dumps v. San Diego County Board of Supervisors, Super Ct. No. 37-2021-00017245-CU-TT-CTL (Fourth App. D. March 13, 2024).",['CA']
2152,BW-IDEOL Offshore Wind Project (Santa Barbara County),2025,Canceled,,2023,No,,CA,Santa Barbara County,06083,,Wind,40.0,,"In 2022, local conservation groups and members of the Northern Chumash Tribe mobilized to oppose the proposed 40-MW BW-IDEOL Vandenberg Space Force Base Pilot offshore wind project off the coast of Santa Barbara County, which would have consisted of four floating turbines. The project site is in an area the Northern Chumash Tribe have sought to designate as a Chumash Heritage National Marine Sanctuary. The company withdrew its lease application in February 2023.","Louis Sahagun, A Chumash tribe and conservationists are fighting a controversial offshore wind power plan, Los Angeles Times, Mar. 21, 2022, https://www.latimes.com/environment/story/2022-03-21/nobody-seems-to-like-this-california-wind-power-proposal; Offshore Wind Application, California State Lands Commission, Oct. 22, 2021, https://www.slc.ca.gov/renewable-energy/offshore-wind-applications/ (last visited June 6, 2025).",['CA']
2153,CADEMO Offshore Wind Project (Santa Barbara County),2025,Pending,,2023,No,,CA,Santa Barbara County,06083,,Wind,60.0,,"The proposed 60-MW CADEMO Demonstration offshore wind project, which is planned to include four floating turbines off the coast of Santa Barbara County encountered opposition from local conservation groups and members of the Northern Chumash Tribe in 2022. The project site is in an area the Northern Chumash Tribe have sought to designate as a Chumash Heritage National Marine Sanctuary. In November 2023, the developer entered into a community benefits agreement with the Santa Ynez Chumash to resolve opposition to the project.","CADEMO and Santa Inez Chumash: Pioneering Offshore Wind Collaboration, CADEMO, Nov. 9, 2023, https://cademo.net/cademo-and-santa-ynez-chumash-2/; Louis Sahagun, A Chumash tribe and conservationists are fighting a controversial offshore wind power plan, Los Angeles Times, Mar. 21, 2022, https://www.latimes.com/environment/story/2022-03-21/nobody-seems-to-like-this-california-wind-power-proposal; Offshore Wind Application, California State Lands Commission, Oct. 22, 2021, https://www.slc.ca.gov/renewable-energy/offshore-wind-applications/ (last visited June 6, 2025).",['CA']
2154,Calico Solar Project (San Bernardino County),2025,Canceled,2013.0,2013,Yes,Federal,CA,San Bernardino County,06071,,Solar,663.5,,"In 2005, Stirling Energy Systems signed a contract with a utility to sell up to 850 MW of energy from a concentrating solar-thermal power plant that would involve 30,000 solar dishes standing up to 40 feet high in the Mohave Desert. Due to concerns about impacts on the desert tortoise, project plans were reduced to 663.5 MW. In 2012, the Sierra Club, Natural Resources Defense Council, and Defenders of Wildlife filed a lawsuit to stop the project, arguing that the project was “wrong from the start,” due to impacts on wild lands and wildlife. By 2013, the project was dead.","Larry Bell, Environmental Groups Strongly Endorse ‘None of the Above’ Energy Plans, Forbes, Mar. 12, 2013, https://www.forbes.com/sites/larrybell/2013/03/12/environmental-groups-strongly-endorse-none-of-the-above-energy-plans/?sh=22656bfe1e3e; Todd Woody, Sierra Club, NRDC Sue Feds to Stop Big California Solar Power Project, Forbes, Mar. 27, 2012, https://www.forbes.com/sites/toddwoody/2012/03/27/sierra-club-nrdc-sue-feds-to-stop-big-california-solar-power-project/?sh=7cedfa261d65; James Montgomery, K Road Gives Up on Calico Solar Project, Renewable Energy World, July 1, 2013, https://www.renewableenergyworld.com/solar/k-road-gives-up-on-calico-solar-project/",['CA']
2155,Fort Ross Pumped Storage Project (Sonoma County),2025,Canceled,2023.0,2023,No,,CA,Sonoma County,06097,,Storage,,,"Hydro Green Energy proposed the Fort Ross Pumped Storage Project in September 2022, a project expected to be built about 1.5 miles northwest of the historic Fort Ross. In July 2023, California Senate Majority Leader Mike McGuire stated, “there is no chance a project of this size, with this scope, will ever get approval in such an environmentally sensitive region like the Sonoma Coast. . . . This project will not see the light of day.” Others quickly rallied in opposition to the proposal, including Richard Charter, director of the coastal coordination program for The Ocean Foundation, citing concerns about the project’s scale, impacts to the marine sanctuary, the lack of reliable power transmission in the area, and numerous indigenous archaeological sites in the area. At an August 2023 meeting planned by project advocates to answer community questions, local political and environmental leaders expressed strong opposition to the project. FERC denied Hydro Green Energy’s preliminary permit application in December 2023.","Marc Albert, Local leaders, activists mobilizing to block Ft. Ross power plant, Northern California Public Media, Aug. 21, 2023, https://norcalpublicmedia.org/2023082190758/news-feed/local-leaders-activists-mobilizing-to-block-ft-ross-power-plant; Mary Callahan, Deadline looming on public comment for proposed Fort Ross Pumped Storage Project, The Press Democrat, Aug. 13, 2023, https://www.pressdemocrat.com/article/news/deadline-looming-on-public-comment-for-proposed-fort-ross-pumped-storage-pr/; Mary Callahan, Large hydropower project proposed near Fort Ross generating opposition even as details still are emerging, The Press Democrat, July 12, 2023, https://www.pressdemocrat.com/article/news/large-hydropower-project-proposed-near-fort-ross-generating-opposition-even/; Order Denying Preliminary Permit Application, In re HE Energy Storage 3 LLC, 185 FERC ¶ 61,188, Project No. 15287-000 (Dec. 19, 2023); Mary Callahan, Federal regulators reject controversial pumped storage project proposed for Sonoma Coast, Press Democrat, Dec. 19, 2023, https://www.pressdemocrat.com/article/news/federal-regulators-reject-controversial-pumped-storage-project-proposed-for/.",['CA']
2156,Fountain Wind Project (Shasta County),2025,Pending,,2024,Yes,State,CA,Shasta County,06089,,Wind,200.0,4500.0,"In October 2021, the Shasta County Board of Supervisors upheld the Shasta County Planning Commission’s rejection of a permit application for the Fountain Wind Project, a 4,500-acre, 200-MW wind farm proposed by ConnectGen. The project has faced significant opposition from the community and from the Pit River Tribe, whose ancestral homelands are within the project area. In denying the appeal, supervisors emphasized (a) the height and visibility of the turbines and (b) the potential that the presence of turbines could exacerbate the challenge of fighting wildfires. In June 2022, Governor Gavin Newsom signed AB 205 into law, which allowed the developer to revive the application and the California Energy Commission to consider overruling the decision. In November 2023, Shasta County and the Pit River Tribe filed a lawsuit seeking to prevent the Commission from approving the project. The California Attorney General moved for a change of venue, citing possible prejudice against the California Energy Commission in the County. In April 2024, a Shasta County Superior Court judge denied the request for a change of venue but ruled that a judge from another county would preside over the lawsuit.","Damon Arthur, Shasta County judge rules on controversial wind project east of Redding, Redding Record Searchlight, Apr. 29, 2024, https://www.redding.com/story/news/local/2024/04/29/shasta-county-judge-rules-on-controversial-fountain-wind-farm/73499855007/.",['CA']
2157,Genesis Solar Energy Project (Riverside County),2025,Pending,,2012,Yes,Federal,CA,Riverside County,06065,,Solar,250.0,1800.0,"The Genesis Solar Energy Project is a 250-MW concentrated solar project developed by NextEra on 1,800 acres of land near the town of Blythe in Riverside County, California. In 2010, BLM briefly halted construction on a 125-acre portion of the site that the Colorado River Indian Tribe (CRIT) asserted was a historic crematorium, burial ground, and village for the Mojave Tribes. After the BLM found no conclusive evidence of habitation, human remains, or funerals, BLM allowed construction to resume. This led CRIT to sue NextEra in May 2012 in the U.S. District Court for the Central District of California, seeking to halt construction on the 125-acre portion. The court denied the tribe’s request for an injunction, and construction continued. Many cultural artifacts were destroyed during construction, compelling BLM to order NextEra to pay $3 million for an ethnographic study of the site and scholarship for Indigenous students.","Genesis Solar Energy Project, CALIFORNIA ENERGY COMMISSION, https://www.energy.ca.gov/powerplant/solar-thermal/genesis-solar-energy-project (last visited Jan. 8, 2024); Albert Bender, Push for solar energy on public land destroys sacred Mohave site, PEOPLE’S WORLD (June 4, 2015), https://peoplesworld.org/article/push-for-solar-energy-on-public-land-destroys-sacred-mohave-site/; Louis Sahagún, Native Americans challenge construction of Mojave Desert solar plant, LOS ANGELES TIMES, Dec. 12, 2014, https://www.latimes.com/science/sciencenow/la-sci-sn-native-americans-solar-20141212-story.html.",['CA']
2158,Granite Mountain Wind Energy Project (San Bernardino County),2025,Canceled,2013.0,2013,No,,CA,San Bernardino County,06071,,Wind,84.0,100.0,"The Granite Mountain Wind Energy Project was a proposed 84-MW, 100-acre project that Renewable Energy Systems would have built on BLM land. The Apple Valley town council and nearby rural communities both expressed opposition to the project, based on concerns including impacts to sightlines, property values, and community values. A flyer organized by Lucerne Valley residents expressed similar concerns and encouraged individuals to submit comments against the project to BLM. In August 2013, the developer withdrew its application due to proximity to golden eagle nests.","Draft Environmental Impact Statement/ Environmental Impact Report (EIS/EIR) for the Granite Mountain Wind Energy Project, DES 10-11 (April 2010), https://www.sbcounty.gov/uploads/lus/desert/deis-eir-volume1.pdf; Granite Mountain Wind Energy Project, Basin and Range Watch, https://www.basinandrangewatch.org/GraniteWind.html (last visited Nov. 6, 2024); Chris Clarke, Another California Wind Energy Project Canceled, PBS SoCal, Aug. 2, 2013, https://www.pbssocal.org/redefine/another-california-wind-energy-project-canceled; Granite Mountain Wind Energy Project Flyer, Lucerne Valley, https://lucernevalley.net/flyers/The%20proposed%20Granite%20Mountain%20Wind%20Energy%20Project.htm (last visited Nov. 6, 2024).",['CA']
2159,Grant Line Solar Project (Alameda County),2025,Pending,,2022,No,,CA,Alameda County,06001,City of Livermore,Solar,2.0,12.0,"On September 18, 2022, a local group called Friends of Livermore filed an administrative appeal to overturn Alameda County’s approval of the 12-acre, 2-MW Alameda Grant Line Solar 1 project. Friends of Livermore asserted that the project violated Alameda County’s “Save Agriculture and Open Lands Initiative,” also known as Measure D. On November 10, 2022, County Board of Supervisors denied the appeal, allowing the project to move forward.","Larry Altman, Group Files an Appeal to Stop Alameda Grant Line Solar Project, The Independent, Sept. 29, 2022, https://www.independentnews.com/news/regional_and_ca/group-files-an-appeal-to-stop-alameda-grant-line-solar-project/article_f5052ff0-3f52-11ed-a976-2faaf7aed3e3.html; Larry Altman, Alameda County Supervisors Reject Friends of Livermore Appeal, Approve Grant Line Solar 1 Project in East County, The Independent, Nov. 17, 2022, https://www.independentnews.com/news/regional_and_ca/alameda-county-supervisors-reject-friends-of-livermore-appeal-approve-grant-line-solar-1-project-in/article_bfd70d76-668a-11ed-a90c-d7492fc8e63e.html",['CA']
2160,Halus Power Wind Turbine (Alameda County),2025,Canceled,2013.0,2013,Yes,State,CA,Alameda County,06001,City of San Leandro,Wind,,,"In 2013, a homeowners association filed a lawsuit challenging the City of San Leandro’s approval of a 100-foot wind turbine by turbine manufacturer Halus Power on property owned by Halus Power. The court entered judgment in favor of the homeowners association on finding that the city had violated the California Environmental Quality Act. Halus Power abandoned the project.","Ashly McGlone, Homeowners Take San Leandro Wind Turbine Battle to Court, The Mercury News, May 7, 2013, https://www.mercurynews.com/2013/05/07/homeowners-take-san-leandro-wind-turbine-battle-to-court/; Heron Bay Homewoners Ass’n v. City of San Leandro, 19 Cal. App. 5th 376 (Cal. Ct. App. Jan. 12, 2018).",['CA']
